完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[ 413] charging connector | 充电接口 | 新能源 | 难度★★
[ 414] CCS connector | 联合充电系统接口 | 新能源 | 难度★★★
[ 415] CHAdeMO connector | CHAdeMO接口 | 新能源 | 难度★★★★
[ 416] GB/T connector | GB/T国标接口 | 新能源 | 难度★★★
[ 417] Tesla connector | 特斯拉接口 | 新能源 | 难度★★★
[ 418] charging network | 充电网络 | 新能源 | 难度★★
[ 419] smart charging | 智能充电 | 新能源 | 难度★★★
[ 420] managed charging | 管理充电 | 新能源 | 难度★★★
[ 421] bidirectional charging | 双向充电 | 新能源 | 难度★★★
[ 422] onboard charger | 车载充电机 | 新能源 | 难度★★
[ 423] charging protocol | 充电协议 | 新能源 | 难度★★★
[ 424] ISO 15118 | ISO 15118标准 | 新能源 | 难度★★★★
[ 425] open charge point protocol | 开放充电点协议 | 新能源 | 难度★★★★
[ 426] open smart charging protocol | 开放智能充电协议 | 新能源 | 难度★★★★★
[ 427] charging management system | 充电管理系统 | 新能源 | 难度★★★
[ 428] roaming agreement | 漫游协议 | 新能源 | 难度★★★
[ 429] e-mobility service provider | 出行服务提供商 | 新能源 | 难度★★★
[ 430] charge point operator | 充电点运营商 | 新能源 | 难度★★★
[ 431] well-to-wheel efficiency | 油井到车轮效率 | 新能源 | 难度★★★★
[ 432] tank-to-wheel efficiency | 油箱到车轮效率 | 新能源 | 难度★★★
[ 433] energy system | energy system | 新能源 | 难度★★
[ 434] energy plant | energy plant | 新能源 | 难度★★
[ 435] energy facility | energy facility | 新能源 | 难度★★
[ 436] energy project | energy project | 新能源 | 难度★★
[ 437] energy installation | energy installation | 新能源 | 难度★★
[ 438] energy array | energy array | 新能源 | 难度★★
[ 439] energy farm | energy farm | 新能源 | 难度★★
[ 440] energy park | energy park | 新能源 | 难度★★
[ 441] energy station | energy station | 新能源 | 难度★★
[ 442] energy generator | energy generator | 新能源 | 难度★★
[ 443] energy unit | energy unit | 新能源 | 难度★★
[ 444] energy module | energy module | 新能源 | 难度★★
[ 445] energy solution | energy solution | 新能源 | 难度★★
[ 446] energy technology | energy technology | 新能源 | 难度★★
[ 447] energy application | energy application | 新能源 | 难度★★
[ 448] energy deployment | energy deployment | 新能源 | 难度★★
[ 449] energy development | energy development | 新能源 | 难度★★
[ 450] energy infrastructure | energy infrastructure | 新能源 | 难度★★
[ 451] energy network | energy network | 新能源 | 难度★★
[ 452] energy grid | energy grid | 新能源 | 难度★★
[ 453] energy market | energy market | 新能源 | 难度★★
[ 454] power system | power system | 新能源 | 难度★★
[ 455] power plant | power plant | 新能源 | 难度★★
[ 456] power facility | power facility | 新能源 | 难度★★
[ 457] power project | power project | 新能源 | 难度★★
[ 458] power installation | power installation | 新能源 | 难度★★
[ 459] power array | power array | 新能源 | 难度★★
[ 460] power farm | power farm | 新能源 | 难度★★
[ 461] power park | power park | 新能源 | 难度★★
[ 462] power station | power station | 新能源 | 难度★★
[ 463] power generator | power generator | 新能源 | 难度★★
[ 464] power unit | power unit | 新能源 | 难度★★
[ 465] power module | power module | 新能源 | 难度★★
[ 466] power solution | power solution | 新能源 | 难度★★
[ 467] power technology | power technology | 新能源 | 难度★★
[ 468] power application | power application | 新能源 | 难度★★
[ 469] power deployment | power deployment | 新能源 | 难度★★
[ 470] power development | power development | 新能源 | 难度★★
[ 471] power infrastructure | power infrastructure | 新能源 | 难度★★
[ 472] power network | power network | 新能源 | 难度★★
[ 473] power grid | power grid | 新能源 | 难度★★
[ 474] power market | power market | 新能源 | 难度★★
[ 475] solar system | solar system | 新能源 | 难度★★
[ 476] solar plant | solar plant | 新能源 | 难度★★
[ 477] solar facility | solar facility | 新能源 | 难度★★
[ 478] solar project | solar project | 新能源 | 难度★★
[ 479] solar installation | solar installation | 新能源 | 难度★★
[ 480] solar array | solar array | 新能源 | 难度★★
[ 481] solar farm | solar farm | 新能源 | 难度★★
[ 482] solar park | solar park | 新能源 | 难度★★
[ 483] solar station | solar station | 新能源 | 难度★★
[ 484] solar generator | solar generator | 新能源 | 难度★★
[ 485] solar unit | solar unit | 新能源 | 难度★★
[ 486] solar module | solar module | 新能源 | 难度★★
[ 487] solar solution | solar solution | 新能源 | 难度★★
[ 488] solar technology | solar technology | 新能源 | 难度★★
[ 489] solar application | solar application | 新能源 | 难度★★
[ 490] solar deployment | solar deployment | 新能源 | 难度★★
[ 491] solar development | solar development | 新能源 | 难度★★
[ 492] solar infrastructure | solar infrastructure | 新能源 | 难度★★
[ 493] solar network | solar network | 新能源 | 难度★★
[ 494] solar grid | solar grid | 新能源 | 难度★★
[ 495] solar market | solar market | 新能源 | 难度★★
[ 496] photovoltaic system | photovoltaic system | 新能源 | 难度★★
[ 497] photovoltaic plant | photovoltaic plant | 新能源 | 难度★★
[ 498] photovoltaic facility | photovoltaic facility | 新能源 | 难度★★
[ 499] photovoltaic project | photovoltaic project | 新能源 | 难度★★
[ 500] photovoltaic installation | photovoltaic installation | 新能源 | 难度★★
[ 501] photovoltaic array | photovoltaic array | 新能源 | 难度★★
[ 502] photovoltaic farm | photovoltaic farm | 新能源 | 难度★★
[ 503] photovoltaic park | photovoltaic park | 新能源 | 难度★★
[ 504] photovoltaic station | photovoltaic station | 新能源 | 难度★★
[ 505] photovoltaic generator | photovoltaic generator | 新能源 | 难度★★
[ 506] photovoltaic unit | photovoltaic unit | 新能源 | 难度★★
[ 507] photovoltaic module | photovoltaic module | 新能源 | 难度★★
[ 508] photovoltaic solution | photovoltaic solution | 新能源 | 难度★★
[ 509] photovoltaic technology | photovoltaic technology | 新能源 | 难度★★
[ 510] photovoltaic application | photovoltaic application | 新能源 | 难度★★
[ 511] photovoltaic deployment | photovoltaic deployment | 新能源 | 难度★★
[ 512] photovoltaic development | photovoltaic development | 新能源 | 难度★★
[ 513] photovoltaic infrastructure | photovoltaic infrastructure | 新能源 | 难度★★
[ 514] photovoltaic network | photovoltaic network | 新能源 | 难度★★
[ 515] photovoltaic grid | photovoltaic grid | 新能源 | 难度★★
[ 516] photovoltaic market | photovoltaic market | 新能源 | 难度★★
[ 517] wind system | wind system | 新能源 | 难度★★
[ 518] wind plant | wind plant | 新能源 | 难度★★
[ 519] wind facility | wind facility | 新能源 | 难度★★
[ 520] wind project | wind project | 新能源 | 难度★★
[ 521] wind installation | wind installation | 新能源 | 难度★★
[ 522] wind array | wind array | 新能源 | 难度★★
[ 523] wind farm | wind farm | 新能源 | 难度★★
[ 524] wind park | wind park | 新能源 | 难度★★
[ 525] wind station | wind station | 新能源 | 难度★★
[ 526] wind generator | wind generator | 新能源 | 难度★★
[ 527] wind unit | wind unit | 新能源 | 难度★★
[ 528] wind module | wind module | 新能源 | 难度★★
[ 529] wind solution | wind solution | 新能源 | 难度★★
[ 530] wind technology | wind technology | 新能源 | 难度★★
[ 531] wind application | wind application | 新能源 | 难度★★
[ 532] wind deployment | wind deployment | 新能源 | 难度★★
[ 533] wind development | wind development | 新能源 | 难度★★
[ 534] wind infrastructure | wind infrastructure | 新能源 | 难度★★
[ 535] wind network | wind network | 新能源 | 难度★★
[ 536] wind grid | wind grid | 新能源 | 难度★★
[ 537] wind market | wind market | 新能源 | 难度★★
[ 538] renewable system | renewable system | 新能源 | 难度★★
[ 539] renewable plant | renewable plant | 新能源 | 难度★★
[ 540] renewable facility | renewable facility | 新能源 | 难度★★
[ 541] renewable project | renewable project | 新能源 | 难度★★
[ 542] renewable installation | renewable installation | 新能源 | 难度★★
[ 543] renewable array | renewable array | 新能源 | 难度★★
[ 544] renewable farm | renewable farm | 新能源 | 难度★★
[ 545] renewable park | renewable park | 新能源 | 难度★★
[ 546] renewable station | renewable station | 新能源 | 难度★★
[ 547] renewable generator | renewable generator | 新能源 | 难度★★
[ 548] renewable unit | renewable unit | 新能源 | 难度★★
[ 549] renewable module | renewable module | 新能源 | 难度★★
[ 550] renewable solution | renewable solution | 新能源 | 难度★★
[ 551] renewable technology | renewable technology | 新能源 | 难度★★
[ 552] renewable application | renewable application | 新能源 | 难度★★
[ 553] renewable deployment | renewable deployment | 新能源 | 难度★★
[ 554] renewable development | renewable development | 新能源 | 难度★★
[ 555] renewable infrastructure | renewable infrastructure | 新能源 | 难度★★
[ 556] renewable network | renewable network | 新能源 | 难度★★
[ 557] renewable grid | renewable grid | 新能源 | 难度★★
[ 558] renewable market | renewable market | 新能源 | 难度★★
[ 559] sustainable system | sustainable system | 新能源 | 难度★★
[ 560] sustainable plant | sustainable plant | 新能源 | 难度★★
[ 561] sustainable facility | sustainable facility | 新能源 | 难度★★
[ 562] sustainable project | sustainable project | 新能源 | 难度★★
[ 563] sustainable installation | sustainable installation | 新能源 | 难度★★
[ 564] sustainable array | sustainable array | 新能源 | 难度★★
[ 565] sustainable farm | sustainable farm | 新能源 | 难度★★
[ 566] sustainable park | sustainable park | 新能源 | 难度★★
[ 567] sustainable station | sustainable station | 新能源 | 难度★★
[ 568] sustainable generator | sustainable generator | 新能源 | 难度★★
[ 569] sustainable unit | sustainable unit | 新能源 | 难度★★
[ 570] sustainable module | sustainable module | 新能源 | 难度★★
[ 571] sustainable solution | sustainable solution | 新能源 | 难度★★
[ 572] sustainable technology | sustainable technology | 新能源 | 难度★★
[ 573] sustainable application | sustainable application | 新能源 | 难度★★
[ 574] sustainable deployment | sustainable deployment | 新能源 | 难度★★
[ 575] sustainable development | sustainable development | 新能源 | 难度★★
[ 576] sustainable infrastructure | sustainable infrastructure | 新能源 | 难度★★
[ 577] sustainable network | sustainable network | 新能源 | 难度★★
[ 578] sustainable grid | sustainable grid | 新能源 | 难度★★
[ 579] sustainable market | sustainable market | 新能源 | 难度★★
[ 580] green system | green system | 新能源 | 难度★★
[ 581] green plant | green plant | 新能源 | 难度★★
[ 582] green facility | green facility | 新能源 | 难度★★
[ 583] green project | green project | 新能源 | 难度★★
[ 584] green installation | green installation | 新能源 | 难度★★
[ 585] green array | green array | 新能源 | 难度★★
[ 586] green farm | green farm | 新能源 | 难度★★
[ 587] green park | green park | 新能源 | 难度★★
[ 588] green station | green station | 新能源 | 难度★★
[ 589] green generator | green generator | 新能源 | 难度★★
[ 590] green unit | green unit | 新能源 | 难度★★
[ 591] green module | green module | 新能源 | 难度★★
[ 592] green solution | green solution | 新能源 | 难度★★
[ 593] green technology | green technology | 新能源 | 难度★★
[ 594] green application | green application | 新能源 | 难度★★
[ 595] green deployment | green deployment | 新能源 | 难度★★
[ 596] green development | green development | 新能源 | 难度★★
[ 597] green infrastructure | green infrastructure | 新能源 | 难度★★
[ 598] green network | green network | 新能源 | 难度★★
[ 599] green grid | green grid | 新能源 | 难度★★
[ 600] green market | green market | 新能源 | 难度★★
[ 601] clean system | clean system | 新能源 | 难度★★
[ 602] clean plant | clean plant | 新能源 | 难度★★
[ 603] clean facility | clean facility | 新能源 | 难度★★
[ 604] clean project | clean project | 新能源 | 难度★★
[ 605] clean installation | clean installation | 新能源 | 难度★★
[ 606] clean array | clean array | 新能源 | 难度★★
[ 607] clean farm | clean farm | 新能源 | 难度★★
[ 608] clean park | clean park | 新能源 | 难度★★
[ 609] clean station | clean station | 新能源 | 难度★★
[ 610] clean generator | clean generator | 新能源 | 难度★★
[ 611] clean unit | clean unit | 新能源 | 难度★★
[ 612] clean module | clean module | 新能源 | 难度★★
[ 613] clean solution | clean solution | 新能源 | 难度★★
[ 614] clean technology | clean technology | 新能源 | 难度★★
[ 615] clean application | clean application | 新能源 | 难度★★
[ 616] clean deployment | clean deployment | 新能源 | 难度★★
[ 617] clean development | clean development | 新能源 | 难度★★
[ 618] clean infrastructure | clean infrastructure | 新能源 | 难度★★
[ 619] clean network | clean network | 新能源 | 难度★★
[ 620] clean grid | clean grid | 新能源 | 难度★★
